msisdn,label,archetype,rule_score,xgb_proba,iso_anomaly_score,ensemble_score,ensemble_prediction
254760403129,1,urgent_mobile_money,30,0.4049,0.2755,0.3411,0
254083531970,0,rural_shared,3,0.3219,0.2362,0.2129,0
254794359715,0,rural_shared,10,0.1066,0.335,0.1617,0
254159202285,0,rural_shared,3,0.075,0.2993,0.1176,0
254012064082,0,normal,19,0.1964,0.3909,0.2431,0
254085710993,0,new_recipient,8,0.1717,0.1249,0.1325,0
254115342276,0,rural_shared,2,0.1321,0.4532,0.1787,0
254173660610,0,urgent_mobile_money,13,0.2495,0.1886,0.1984,0
254094545883,0,new_recipient,7,0.3161,0.2303,0.2208,0
254055834175,0,emergency_drain,27,0.4454,0.2921,0.3545,0
254775016655,0,normal,0,0.0906,0.1767,0.085,0
254129985532,0,rural_shared,10,0.3372,0.1702,0.2243,0
254110697275,0,normal,1,0.138,0.1178,0.0946,0
254759485578,0,normal,3,0.2374,0.4033,0.2167,0
254769040240,0,normal,0,0.1814,0.1797,0.1266,0
254196179308,0,urgent_mobile_money,12,0.2531,0.0698,0.1673,0
254061350202,0,power_user,14,0.1795,0.223,0.1786,0
254085291675,0,normal,0,0.2247,0.1002,0.1262,0
254166606249,0,rural_shared,9,0.1074,0.194,0.1238,0
254184525946,0,new_recipient,7,0.1598,0.1653,0.1342,0
254750776459,0,normal,11,0.5007,0.0674,0.2752,0
254798188881,0,rural_shared,7,0.0992,0.2381,0.1252,0
254030980141,0,normal,1,0.1319,0.1307,0.095,0
254085647921,0,urgent_mobile_money,15,0.2102,0.1316,0.1725,0
254759396424,0,power_user,8,0.1029,0.3074,0.1471,0
254176606582,0,normal,0,0.1376,0.0899,0.0844,0
254093863269,0,normal,6,0.2566,0.2469,0.1952,0
254121774448,0,normal,0,0.1102,0.1203,0.0797,0
254152891774,0,new_recipient,2,0.1522,0.271,0.1422,0
254050632478,0,rural_shared,0,0.2357,0.1562,0.1451,0
254141945876,0,normal,2,0.2628,0.1075,0.1512,0
254725588415,0,urgent_mobile_money,9,0.0796,0.2716,0.1307,0
254713679514,0,normal,1,0.1721,0.2761,0.1495,0
254752184890,0,power_user,15,0.1281,0.1447,0.1388,0
254745105150,0,urgent_mobile_money,31,0.3034,0.4454,0.3409,0
254027816277,0,new_recipient,0,0.131,0.3873,0.1558,0
254088562249,0,rural_shared,7,0.2107,0.3279,0.1978,0
254166498760,0,normal,1,0.1616,0.3408,0.1609,0
254038396949,0,normal,0,0.252,0.1272,0.1452,0
254067460736,0,normal,1,0.1201,0.0622,0.0726,0
254139870265,0,power_user,3,0.1826,0.259,0.1559,0
254736208176,0,normal,1,0.1448,0.1417,0.1036,0
254168302629,0,power_user,15,0.1913,0.2,0.1811,0
254030407985,0,normal,24,0.4539,0.2532,0.3396,0
254124948934,0,new_recipient,14,0.7889,0.6746,0.5656,0
254791498295,0,new_recipient,10,0.174,0.178,0.1528,0
254149089630,0,normal,1,0.0732,0.2879,0.1079,0
254034435425,0,normal,1,0.1757,0.1609,0.1223,0
254050621801,0,power_user,11,0.2863,0.1349,0.1955,0
254752719416,0,new_recipient,12,0.2067,0.2449,0.1902,0
254732798334,0,new_recipient,4,0.2095,0.2019,0.1568,0
254771247367,0,normal,1,0.2937,0.3302,0.2177,0
254027533295,0,rural_shared,2,0.2357,0.1473,0.1489,0
254716149428,0,normal,3,0.0815,0.2218,0.1011,0
254014593094,0,normal,5,0.3321,0.3326,0.2476,0
254798641418,0,rural_shared,5,0.1885,0.2897,0.1722,0
254144020546,0,new_recipient,3,0.1006,0.1716,0.0972,0
254790703249,0,rural_shared,4,0.2525,0.26,0.1906,0
254045666019,0,urgent_mobile_money,35,0.4074,0.2521,0.3513,0
254719472177,0,normal,2,0.1704,0.1059,0.1091,0
254065709142,0,normal,1,0.1501,0.1425,0.1062,0
254056346635,0,new_recipient,4,0.1429,0.3129,0.1545,0
254730929954,0,normal,0,0.2204,0.125,0.1304,0
254740893232,0,normal,0,0.1256,0.1048,0.0827,0
254778166815,0,urgent_mobile_money,27,0.4082,0.2334,0.3231,0
254787307374,0,rural_shared,4,0.0907,0.2927,0.126,0
254761053596,0,power_user,10,0.1192,0.1604,0.1237,0
254131409128,1,rural_shared,0,0.0956,0.1142,0.0716,0
254030916622,0,power_user,8,0.0749,0.4105,0.1603,0
254043062250,0,normal,0,0.1298,0.122,0.0889,0
254024252294,0,normal,2,0.2221,0.2407,0.1661,0
254146111627,0,normal,3,0.076,0.1705,0.0859,0
254767409637,0,new_recipient,3,0.1164,0.1467,0.098,0
254111160196,0,power_user,9,0.1775,0.3927,0.2051,0
254778721275,1,new_recipient,15,0.2225,0.1857,0.1915,0
254731389418,0,normal,4,0.1998,0.1607,0.1421,0
254038646255,0,normal,1,0.2315,0.1228,0.1379,0
254139215212,0,rural_shared,68,0.4494,0.4363,0.5153,0
254120469831,0,new_recipient,15,0.1278,0.1912,0.1503,0
254723625861,0,urgent_mobile_money,16,0.2972,0.3912,0.2795,0
254099395485,0,new_recipient,4,0.192,0.2352,0.1572,0
254187049399,0,normal,1,0.2148,0.0703,0.1172,0
254038005777,0,power_user,4,0.1115,0.1698,0.1046,0
254748420406,0,emergency_drain,26,0.6425,0.2711,0.4349,0
254098597073,0,urgent_mobile_money,26,0.2405,0.2131,0.2395,0
254164356395,0,normal,0,0.1178,0.2849,0.1242,0
254775834448,0,normal,1,0.1282,0.43,0.1682,0
254151764319,0,normal,2,0.2022,0.2424,0.1576,0
254051961365,0,normal,0,0.2051,0.2367,0.1515,0
254044564568,0,urgent_mobile_money,13,0.0951,0.2452,0.1431,0
254038088891,0,normal,0,0.1217,0.3213,0.1351,0
