msisdn,label,archetype,risk_score,action,triggered_combos,time_to_first_min,imei_swap_corr,imei_cardinality,avg_dwell_variance,intent_purity,max_drain_ratio,cumulative_drain,all_recipients_unknown,non_financial_count,displacement_km,agent_risk,txn_velocity,time_of_day_risk,device_familiarity
254760403129,fraud,urgent_mobile_money,30,T1_OBSERVE,,12.0,0.09,2,16.96,1.0,0.292,0.292,False,0,0.2,0.41,5.0,0.4,0.543
254083531970,legit,rural_shared,3,T0_ALLOW,,2280.0,0.08,4,83.92,0.167,0.347,0.347,False,5,2.5,0.43,0.026,0.38,0.486
254794359715,legit,rural_shared,10,T0_ALLOW,,1320.0,0.09,5,9.55,0.167,0.111,0.111,True,5,2.0,0.42,0.045,0.32,0.453
254159202285,legit,rural_shared,3,T0_ALLOW,,2820.0,0.07,4,25.35,0.143,0.344,0.344,False,6,54.0,0.15,0.021,0.2,0.489
254012064082,legit,normal,19,T0_ALLOW,,23.0,0.06,2,17.14,0.5,0.839,0.839,False,1,2.0,0.06,2.609,0.38,0.552
254085710993,legit,new_recipient,8,T0_ALLOW,,420.0,0.03,1,12.82,0.143,0.201,0.201,True,6,2.2,0.28,0.143,0.2,0.591
254115342276,legit,rural_shared,2,T0_ALLOW,,2040.0,0.03,5,349.04,0.25,0.241,0.241,False,3,1.9,0.18,0.029,0.32,0.471
254173660610,legit,urgent_mobile_money,13,T0_ALLOW,,36.0,0.05,1,40.24,0.333,0.422,0.422,False,2,0.8,0.2,1.667,0.2,0.585
254094545883,legit,new_recipient,7,T0_ALLOW,,300.0,0.01,1,11.35,0.083,0.227,0.227,True,11,2.4,0.44,0.2,0.27,0.997
254055834175,legit,emergency_drain,27,T1_OBSERVE,,39.0,0.09,2,0.67,0.333,0.891,0.891,False,2,1.2,0.19,1.538,0.35,0.543
254775016655,legit,normal,0,T0_ALLOW,,900.0,0.07,2,121.55,0.143,0.08,0.08,False,6,1.5,0.19,0.067,0.17,0.949
254129985532,legit,rural_shared,10,T0_ALLOW,,480.0,0.12,3,8.4,0.333,0.204,0.204,True,2,1.9,0.22,0.125,0.27,0.504
254110697275,legit,normal,1,T0_ALLOW,,180.0,0.06,1,5.2,0.143,0.046,0.046,False,6,2.1,0.17,0.333,0.22,0.982
254759485578,legit,normal,3,T0_ALLOW,,2220.0,0.31,1,37.27,0.062,0.269,0.269,True,15,1.9,0.1,0.027,0.9,0.907
254769040240,legit,normal,0,T0_ALLOW,,3720.0,0.07,2,121.6,0.083,0.086,0.086,False,11,2.2,0.15,0.016,0.4,0.949
254196179308,legit,urgent_mobile_money,12,T0_ALLOW,,41.0,0.08,1,6.89,0.333,0.311,0.311,False,2,2.8,0.31,1.463,0.9,0.576
254061350202,legit,power_user,14,T0_ALLOW,,202.0,0.08,1,9.76,0.125,0.094,0.094,True,7,2.2,0.07,0.297,0.2,0.576
254085291675,legit,normal,0,T0_ALLOW,,2460.0,0.04,1,42.16,0.091,0.042,0.042,False,10,1.4,0.09,0.024,0.32,0.988
254166606249,legit,rural_shared,9,T0_ALLOW,,1320.0,0.06,4,50.8,0.1,0.121,0.121,True,9,0.3,0.2,0.045,0.22,0.492
254184525946,legit,new_recipient,7,T0_ALLOW,,1080.0,0.08,2,4.64,0.091,0.229,0.229,True,10,0.9,0.14,0.056,0.9,0.946
254750776459,legit,normal,11,T0_ALLOW,,180.0,0.01,1,0.22,0.091,0.274,0.274,False,10,1.1,0.27,0.333,0.35,0.597
254798188881,legit,rural_shared,7,T0_ALLOW,,600.0,0.04,5,5.92,0.167,0.22,0.22,False,5,2.3,0.11,0.1,0.35,0.468
254030980141,legit,normal,1,T0_ALLOW,,600.0,0.11,2,21.63,0.167,0.026,0.026,False,5,2.4,0.07,0.1,0.22,0.537
254085647921,legit,urgent_mobile_money,15,T0_ALLOW,,34.0,0.09,1,2.64,0.25,0.385,0.385,False,3,1.0,0.34,1.765,0.35,0.573
254759396424,legit,power_user,8,T0_ALLOW,,108.0,0.05,1,30.49,0.059,0.06,0.06,False,16,2.4,0.11,0.556,0.9,0.585
254176606582,legit,normal,0,T0_ALLOW,,1320.0,0.1,1,10.24,0.143,0.212,0.212,False,6,1.1,0.37,0.045,0.22,0.97
254093863269,legit,normal,6,T0_ALLOW,,2940.0,0.06,1,1.06,0.25,0.213,0.213,True,3,90.7,0.31,0.02,0.32,0.582
254121774448,legit,normal,0,T0_ALLOW,,2700.0,0.01,2,58.24,0.1,0.256,0.256,False,9,2.8,0.32,0.022,0.9,0.967
254152891774,legit,new_recipient,2,T0_ALLOW,,2520.0,0.07,1,60.69,0.167,0.348,0.348,True,5,1.7,0.17,0.024,0.3,0.979
254050632478,legit,rural_shared,0,T0_ALLOW,,2520.0,0.11,2,44.24,0.1,0.377,0.377,False,9,2.2,0.18,0.024,0.2,0.537
254141945876,legit,normal,2,T0_ALLOW,,3840.0,0.04,2,34.69,0.143,0.289,0.289,False,6,1.3,0.41,0.016,0.9,0.558
254725588415,legit,urgent_mobile_money,9,T0_ALLOW,,31.0,0.04,1,7.1,0.333,0,0,False,2,2.2,0.38,0.0,0.35,0.588
254713679514,legit,normal,1,T0_ALLOW,,2400.0,0.05,1,66.2,0.071,0.278,0.278,False,13,384.7,0.16,0.025,0.38,0.985
254752184890,legit,power_user,15,T0_ALLOW,,142.0,0.09,2,0.49,0.143,0.212,0.212,False,6,2.4,0.1,0.423,0.9,0.543
254745105150,legit,urgent_mobile_money,31,T1_OBSERVE,,5.0,0.0,0,43.76,0.5,0.289,0.289,True,1,1.8,0.22,10.0,0.17,0.63
254027816277,legit,new_recipient,0,T0_ALLOW,,900.0,0.05,2,203.44,0.2,0,0,False,4,2.2,0.37,0.0,0.7,0.955
254088562249,legit,rural_shared,7,T0_ALLOW,,420.0,0.06,5,220.24,0.091,0.252,0.252,False,10,2.6,0.37,0.143,0.38,0.462
254166498760,legit,normal,1,T0_ALLOW,,3000.0,0.06,1,2.0,0.091,0,0,False,10,2.3,0.13,0.0,0.4,0.982
254038396949,legit,normal,0,T0_ALLOW,,1860.0,0.01,1,67.39,0.125,0.121,0.121,False,7,2.6,0.17,0.032,0.17,0.997
254067460736,legit,normal,1,T0_ALLOW,,3600.0,0.09,2,56.41,0.1,0.155,0.155,False,9,1.4,0.12,0.017,0.9,0.543
254139870265,legit,power_user,3,T0_ALLOW,,88.0,0.08,2,11.06,0.167,0.246,0.246,False,5,2.4,0.2,0.682,0.35,0.946
254736208176,legit,normal,1,T0_ALLOW,,3300.0,0.06,2,63.35,0.125,0.089,0.089,False,7,1.9,0.43,0.018,0.9,0.952
254168302629,legit,power_user,15,T0_ALLOW,,138.0,0.01,2,1.96,0.071,0.231,0.231,False,13,1.8,0.3,0.435,0.9,0.567
254030407985,legit,normal,24,T1_OBSERVE,,19.0,0.04,1,2.67,0.077,0.116,0.116,True,12,1.6,0.2,3.158,0.22,0.988
254124948934,legit,new_recipient,14,T0_ALLOW,,1380.0,0.15,1,332.24,1.0,0.688,0.688,True,0,1.5,0.49,0.043,0.17,0.555
254791498295,legit,new_recipient,10,T0_ALLOW,,420.0,0.1,1,50.29,0.077,0.21,0.21,True,12,2.1,0.19,0.143,0.9,0.57
254149089630,legit,normal,1,T0_ALLOW,,2100.0,0.03,1,2.16,0.077,0,0,False,12,2.2,0.1,0.0,0.4,0.991
254034435425,legit,normal,1,T0_ALLOW,,2820.0,0.04,2,48.82,0.077,0.105,0.105,False,12,1.2,0.61,0.021,0.38,0.558
254050621801,legit,power_user,11,T0_ALLOW,,192.0,0.1,1,4.96,0.167,0.165,0.165,False,5,1.1,0.18,0.312,0.27,0.57
254752719416,legit,new_recipient,12,T0_ALLOW,,180.0,0.02,2,17.39,0.167,0.341,0.341,True,5,1.6,0.3,0.333,0.9,0.964
254732798334,legit,new_recipient,4,T0_ALLOW,,1560.0,0.0,0,2.16,0.077,0.171,0.171,True,12,1.3,0.07,0.038,0.25,0.63
254771247367,legit,normal,1,T0_ALLOW,,4320.0,0.04,2,84.49,0.125,0.121,0.121,True,7,2.6,0.2,0.014,0.17,0.558
254027533295,legit,rural_shared,2,T0_ALLOW,,2460.0,0.04,4,13.36,0.1,0.298,0.298,False,9,2.4,0.07,0.024,0.32,0.498
254716149428,legit,normal,3,T0_ALLOW,,1320.0,0.05,1,4.64,0.062,0,0,False,15,1.0,0.14,0.0,0.38,0.585
254014593094,legit,normal,5,T0_ALLOW,,4020.0,0.02,2,129.27,0.1,0.295,0.295,True,9,2.5,0.62,0.015,0.9,0.564
254798641418,legit,rural_shared,5,T0_ALLOW,,960.0,0.11,5,153.84,0.25,0.16,0.16,False,3,1.9,0.44,0.062,0.35,0.447
254144020546,legit,new_recipient,3,T0_ALLOW,,1800.0,0.07,1,8.98,0.143,0.329,0.329,True,6,1.0,0.17,0.033,0.25,0.579
254790703249,legit,rural_shared,4,T0_ALLOW,,1620.0,0.0,3,84.24,0.167,0.334,0.334,True,5,1.4,0.09,0.037,0.3,0.54
254045666019,legit,urgent_mobile_money,35,T1_OBSERVE,,10.0,0.07,2,4.67,0.333,0.419,0.419,True,2,1.8,0.25,6.0,0.7,0.549
254719472177,legit,normal,2,T0_ALLOW,,1020.0,0.11,2,96.41,0.091,0.188,0.188,False,10,1.6,0.27,0.059,0.9,0.537
