msisdn,swap_ts,swap_channel,agent_risk_score,pre_swap_imei,post_swap_imei,imei_match,imei_msisdn_cardinality_90d,imei_swap_correlation,device_type,home_county,displacement_km,non_financial_activity_count,session_count_first_hour,time_to_first_session_min,label,fraud_archetype
254760403129,2025-01-13T12:45:00Z,call_center,0.41,357621175022609,353830506913909,False,2,0.09,Infinix_Hot_30,Turkana,0.2,0,1,12.0,fraud,urgent_mobile_money
254083531970,2025-02-13T13:13:00Z,call_center,0.43,353800480257513,352828977562400,False,4,0.08,Infinix_Hot_30,Nyeri,2.5,5,0,2280.0,legit,rural_shared
254794359715,2025-01-05T15:11:00Z,agent,0.42,355080618793436,357238105945472,False,5,0.09,Samsung_A04,Malindi,2.0,5,1,1320.0,legit,rural_shared
254159202285,2025-01-17T20:07:00Z,agent,0.15,356297863204106,352058704192313,False,4,0.07,itel_5027,Thika,54.0,6,1,2820.0,legit,rural_shared
254012064082,2025-01-07T13:13:00Z,agent,0.06,357792846805833,357077999365647,False,2,0.06,Samsung_A04,Kisumu,2.0,1,0,23.0,legit,normal
254085710993,2025-02-28T20:12:00Z,agent,0.28,358505237040947,357651310991256,False,1,0.03,Infinix_Hot_30,Thika,2.2,6,1,420.0,legit,new_recipient
254115342276,2025-01-29T15:49:00Z,retail_store,0.18,359231215216952,354932070501781,False,5,0.03,Samsung_A14,Thika,1.9,3,1,2040.0,legit,rural_shared
254173660610,2025-01-26T20:59:00Z,agent,0.2,355621481558511,357099728989991,False,1,0.05,Tecno_T301,Kisumu,0.8,2,3,36.0,legit,urgent_mobile_money
254094545883,2025-01-23T17:48:00Z,agent,0.44,355144479014695,355144479014695,True,1,0.01,Tecno_T301,Turkana,2.4,11,0,300.0,legit,new_recipient
254055834175,2025-02-05T14:09:00Z,agent,0.19,354624756335507,356875328084864,False,2,0.09,Nokia_105,Machakos,1.2,2,2,39.0,legit,emergency_drain
254775016655,2025-01-04T21:39:00Z,agent,0.19,356451990031531,356451990031531,True,2,0.07,itel_2160,Nyeri,1.5,6,0,900.0,legit,normal
254129985532,2025-02-25T17:25:00Z,call_center,0.22,353515016221735,359209168897395,False,3,0.12,itel_2160,Thika,1.9,2,0,480.0,legit,rural_shared
254110697275,2025-01-12T19:31:00Z,agent,0.17,357075235467268,357075235467268,True,1,0.06,Nokia_105,Nyeri,2.1,6,0,180.0,legit,normal
254759485578,2025-01-22T02:36:00Z,agent,0.1,357232521306887,357232521306887,True,1,0.31,Infinix_Hot_30,Nyeri,1.9,15,0,2220.0,legit,normal
254769040240,2025-01-01T12:52:00Z,call_center,0.15,358019361670586,358019361670586,True,2,0.07,Samsung_A14,Eldoret,2.2,11,0,3720.0,legit,normal
254196179308,2025-01-24T04:23:00Z,agent,0.31,355463859061990,356638650239031,False,1,0.08,itel_5027,Mombasa,2.8,2,1,41.0,legit,urgent_mobile_money
254061350202,2025-02-20T20:17:00Z,retail_store,0.07,357869912159426,353822504867860,False,1,0.08,Nokia_105,Garissa,2.2,7,2,202.0,legit,power_user
254085291675,2025-02-18T15:50:00Z,retail_store,0.09,357400591065588,357400591065588,True,1,0.04,Samsung_A04,Mombasa,1.4,10,0,2460.0,legit,normal
254166606249,2025-02-05T19:09:00Z,agent,0.2,354606582024663,357185990700256,False,4,0.06,Nokia_110,Eldoret,0.3,9,1,1320.0,legit,rural_shared
254184525946,2025-02-21T00:31:00Z,agent,0.14,355309123332518,355309123332518,True,2,0.08,Samsung_A04,Malindi,0.9,10,0,1080.0,legit,new_recipient
254750776459,2025-02-19T14:21:00Z,agent,0.27,357020018075474,355432116672492,False,1,0.01,Nokia_110,Malindi,1.1,10,0,180.0,legit,normal
254798188881,2025-01-26T14:31:00Z,agent,0.11,352825054613427,353345841944693,False,5,0.04,Nokia_105,Nyeri,2.3,5,1,600.0,legit,rural_shared
254030980141,2025-01-29T19:43:00Z,call_center,0.07,358220195479445,357725791421450,False,2,0.11,Tecno_Spark_10,Malindi,2.4,5,0,600.0,legit,normal
254085647921,2025-02-08T14:21:00Z,call_center,0.34,356827292039101,355904734097432,False,1,0.09,Tecno_T301,Turkana,1.0,3,2,34.0,legit,urgent_mobile_money
254759396424,2025-02-02T03:13:00Z,agent,0.11,357380099669277,358396173216316,False,1,0.05,Tecno_T301,Machakos,2.4,16,3,108.0,legit,power_user
254176606582,2025-02-01T19:12:00Z,agent,0.37,358323931729600,358323931729600,True,1,0.1,Samsung_A14,Nairobi,1.1,6,0,1320.0,legit,normal
254093863269,2025-02-10T15:07:00Z,call_center,0.31,354498881117220,358803617891928,False,1,0.06,Redmi_12C,Kisumu,90.7,3,0,2940.0,legit,normal
254121774448,2025-02-04T00:09:00Z,agent,0.32,359802677303330,359802677303330,True,2,0.01,itel_5027,Nairobi,2.8,9,0,2700.0,legit,normal
254152891774,2025-01-02T16:29:00Z,call_center,0.17,352041182089818,352041182089818,True,1,0.07,Nokia_110,Narok,1.7,5,0,2520.0,legit,new_recipient
254050632478,2025-02-10T20:07:00Z,agent,0.18,354822344342904,355594710363030,False,2,0.11,Tecno_T301,Nairobi,2.2,9,0,2520.0,legit,rural_shared
254141945876,2025-02-20T00:53:00Z,call_center,0.41,358796350885062,352120372166604,False,2,0.04,Tecno_T301,Thika,1.3,6,0,3840.0,legit,normal
254725588415,2025-01-10T14:08:00Z,agent,0.38,352146158713700,356330029616632,False,1,0.04,itel_2163,Machakos,2.2,2,1,31.0,legit,urgent_mobile_money
254713679514,2025-01-10T13:53:00Z,agent,0.16,358623608151473,358623608151473,True,1,0.05,Redmi_12C,Nakuru,384.7,13,0,2400.0,legit,normal
254752184890,2025-02-20T02:36:00Z,agent,0.1,358947038717945,356200648715218,False,2,0.09,Nokia_110,Eldoret,2.4,6,2,142.0,legit,power_user
254745105150,2025-01-18T21:51:00Z,agent,0.22,357109817477087,UNKNOWN,False,0,0.0,itel_2160,Turkana,1.8,1,2,5.0,legit,urgent_mobile_money
254027816277,2025-01-06T22:08:00Z,call_center,0.37,356249260948406,356249260948406,True,2,0.05,Samsung_A14,Nyeri,2.2,4,0,900.0,legit,new_recipient
254088562249,2025-03-01T13:23:00Z,retail_store,0.37,359449930415246,356729666693529,False,5,0.06,Samsung_A14,Nakuru,2.6,10,1,420.0,legit,rural_shared
254166498760,2025-02-11T12:55:00Z,agent,0.13,359462587937442,359462587937442,True,1,0.06,itel_2160,Kisumu,2.3,10,0,3000.0,legit,normal
254038396949,2025-02-21T21:04:00Z,agent,0.17,352795350579567,352795350579567,True,1,0.01,Nokia_110,Mombasa,2.6,7,0,1860.0,legit,normal
254067460736,2025-02-26T02:25:00Z,call_center,0.12,352852169017111,352129808470997,False,2,0.09,Redmi_12C,Thika,1.4,9,0,3600.0,legit,normal
254139870265,2025-01-30T14:36:00Z,agent,0.2,357317323686581,357317323686581,True,2,0.08,itel_2160,Machakos,2.4,5,3,88.0,legit,power_user
254736208176,2025-01-17T01:59:00Z,call_center,0.43,357193818052890,357193818052890,True,2,0.06,Redmi_12C,Mombasa,1.9,7,0,3300.0,legit,normal
254168302629,2025-02-12T04:12:00Z,agent,0.3,354016468782860,355897462972624,False,2,0.01,Infinix_Hot_30,Nairobi,1.8,13,2,138.0,legit,power_user
254030407985,2025-02-06T19:54:00Z,agent,0.2,359743289595344,359743289595344,True,1,0.04,Nokia_110,Kisii,1.6,12,0,19.0,legit,normal
