session_id,msisdn,imei,cgi,shortcode,session_start_ts,total_steps,dwell_times,dwell_variance,mean_dwell,menu_path,path_directness,session_duration_s,session_end_reason,pin_attempts,label
USS-87E7ACD4,254760403129,353830506913909,639-02-3884-52482,*334#,2025-01-13T12:57:00Z,5,"[15, 9, 21, 11, 13]",16.96,13.8,main>send_money>number>amount>pin>confirm,1.0,79,complete,1,legit
USS-0A05693B,254083531970,352828977562400,639-02-6240-57627,*334#,2025-02-15T03:13:00Z,7,"[17, 19, 46, 25, 20, 21, 22]",83.92,24.3,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,184,complete,1,legit
USS-0E002AA3,254794359715,357238105945472,639-02-5356-97341,*334#,2025-01-06T13:11:00Z,7,"[16, 24, 24, 21, 25, 24, 19]",9.55,21.9,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,167,complete,1,legit
USS-49EAE571,254159202285,352058704192313,639-02-8805-71572,*334#,2025-01-19T19:07:00Z,7,"[10, 7, 23, 10, 7, 11, 11]",25.35,11.3,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,93,complete,1,legit
USS-4E7C0FF8,254012064082,357077999365647,639-02-3205-25532,*334#,2025-01-07T13:36:00Z,7,"[7, 6, 19, 7, 8, 8, 8]",17.14,9.0,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,77,complete,1,legit
USS-BBBD0ADF,254085710993,357651310991256,639-02-4079-31852,*334#,2025-03-01T03:12:00Z,7,"[7, 7, 18, 10, 9, 8, 8]",12.82,9.6,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,81,complete,1,legit
USS-BCDED132,254115342276,354932070501781,639-02-1136-77571,*334#,2025-01-31T01:49:00Z,5,"[28, 22, 69, 26, 17]",349.04,32.4,main>send_money>number>amount>pin>confirm,1.0,172,complete,1,legit
USS-EC5FB4E8,254173660610,357099728989991,639-02-7916-71830,*334#,2025-01-26T21:35:00Z,5,"[11, 10, 27, 12, 18]",40.24,15.6,main>send_money>number>amount>pin>confirm,1.0,88,complete,1,legit
USS-72A9C2C7,254094545883,355144479014695,639-02-8247-33860,*334#,2025-01-23T22:48:00Z,7,"[10, 9, 19, 14, 15, 12, 17]",11.35,13.7,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,110,complete,1,legit
USS-09BC86AD,254055834175,356875328084864,639-02-2251-10334,*334#,2025-02-05T14:48:00Z,3,"[7, 5, 6]",0.67,6.0,main>my_account>balance,1.0,24,complete,1,legit
USS-1F907769,254775016655,356451990031531,639-02-5941-11416,*334#,2025-01-05T12:39:00Z,7,"[15, 13, 47, 18, 20, 13, 22]",121.55,21.1,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,162,complete,1,legit
USS-57FC8EB8,254129985532,359209168897395,639-02-8822-57912,*334#,2025-02-26T01:25:00Z,5,"[14, 18, 23, 17, 18]",8.4,18.0,main>send_money>number>amount>pin>confirm,1.0,100,complete,1,legit
USS-5A75EA92,254110697275,357075235467268,639-02-4340-52410,*334#,2025-01-12T22:31:00Z,5,"[19, 17, 20, 14, 20]",5.2,18.0,main>send_money>number>amount>pin>confirm,1.0,100,complete,1,legit
USS-D29F456C,254759485578,357232521306887,639-02-5334-87850,*334#,2025-01-23T15:36:00Z,7,"[22, 13, 34, 18, 20, 22, 17]",37.27,20.9,main>my_account>balance>back>send_money>number>amount>pin>confirm,0.56,160,complete,1,legit
USS-6309E6D6,254769040240,358019361670586,639-02-6290-59310,*334#,2025-01-04T02:52:00Z,5,"[13, 13, 41, 13, 15]",121.6,19.0,main>send_money>number>amount>pin>confirm,1.0,105,complete,1,legit
USS-F0949217,254196179308,356638650239031,639-02-2413-20791,*334#,2025-01-24T05:04:00Z,3,"[18, 13, 12]",6.89,14.3,main>my_account>balance,1.0,49,complete,1,legit
USS-7C3B9312,254061350202,353822504867860,639-02-9562-90347,*334#,2025-02-20T23:39:00Z,5,"[7, 11, 14, 9, 5]",9.76,9.2,main>send_money>number>amount>pin>confirm,1.0,56,complete,1,legit
